valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
jycajame.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 23:16:30 UTC
nswpk62437.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 23:14:52 UTC
nerotywo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 23:07:59 UTC
228dione.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 23:05:37 UTC
mumyqowi.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 22:34:05 UTC
lacygenetic.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 22:15:01 UTC
uey2bqd5os.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 22:08:34 UTC
kahule.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 21:44:47 UTC
dyfaqymo.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 21:38:30 UTC
lerubizi.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 21:31:14 UTC
zqjoz45628.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 21:16:00 UTC
dypocemy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 20:53:44 UTC
pu8gkxg57y.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 20:40:06 UTC
toqima.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 20:14:27 UTC
tv7dug0hg6.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 20:02:40 UTC
nzasn96104.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 19:57:53 UTC
kadazyci.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 19:56:05 UTC
bezamy.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 19:52:20 UTC
lbxpg68375.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 19:47:05 UTC
nelinura.workers.dev,domain,php.shin_webshell,media,48,50,,ThreatFox,2026-08-30 18:55:41 UTC
